decil,candidato,con_jcf,tasa_decil,reparto_jcf,cve_ent,año
9,5218,371.0,0.07110003832886164,0.24766355140186916,17,2020
10,2695,0.0,0.0,0.0,17,2020
1,3098,0.0,0.0,0.0,17,2022
2,8106,0.0,0.0,0.0,17,2022
3,10703,619.0,0.057834252078856396,0.4263085399449036,17,2022
4,10402,0.0,0.0,0.0,17,2022
5,6151,278.0,0.04519590310518615,0.19146005509641872,17,2022
6,6773,248.0,0.03661597519562971,0.17079889807162535,17,2022
7,6416,0.0,0.0,0.0,17,2022
8,4087,307.0,0.07511622216784927,0.21143250688705234,17,2022
9,4838,0.0,0.0,0.0,17,2022
10,3050,0.0,0.0,0.0,17,2022
1,4951,0.0,0.0,0.0,17,2024
2,7085,0.0,0.0,0.0,17,2024
3,11732,0.0,0.0,0.0,17,2024
4,8894,269.0,0.030245109062289183,0.1271266540642722,17,2024
5,7404,338.0,0.045650999459751485,0.15973534971644612,17,2024
6,8287,538.0,0.06492096054060577,0.2542533081285444,17,2024
7,5115,0.0,0.0,0.0,17,2024
8,7205,0.0,0.0,0.0,17,2024
9,5164,971.0,0.18803253292021688,0.45888468809073724,17,2024
10,2085,0.0,0.0,0.0,17,2024
1,1559,0.0,0.0,0.0,18,2020
2,4215,178.0,0.04223013048635824,0.10130904951622083,18,2020
3,3244,0.0,0.0,0.0,18,2020
4,4606,180.0,0.03907946157186279,0.10244735344336937,18,2020
5,4980,0.0,0.0,0.0,18,2020
6,4647,324.0,0.0697224015493867,0.18440523619806487,18,2020
7,5771,170.0,0.02945763299254895,0.09675583380762663,18,2020
8,4934,534.0,0.10822861775435752,0.3039271485486625,18,2020
9,4080,0.0,0.0,0.0,18,2020
10,2972,371.0,0.12483176312247644,0.21115537848605578,18,2020
1,3784,0.0,0.0,0.0,18,2022
2,3280,0.0,0.0,0.0,18,2022
3,4337,0.0,0.0,0.0,18,2022
4,3987,0.0,0.0,0.0,18,2022
5,4888,167.0,0.03416530278232406,0.14804964539007093,18,2022
6,5688,218.0,0.038326300984528834,0.19326241134751773,18,2022
7,4166,0.0,0.0,0.0,18,2022
8,5598,551.0,0.09842801000357271,0.48847517730496454,18,2022
9,3082,0.0,0.0,0.0,18,2022
10,2219,192.0,0.08652546191978369,0.1702127659574468,18,2022
1,2328,0.0,0.0,0.0,18,2024
2,2470,0.0,0.0,0.0,18,2024
3,3739,0.0,0.0,0.0,18,2024
4,4765,0.0,0.0,0.0,18,2024
5,4735,190.0,0.04012671594508976,0.49222797927461137,18,2024
6,6206,0.0,0.0,0.0,18,2024
7,3871,196.0,0.05063291139240506,0.5077720207253886,18,2024
8,2541,0.0,0.0,0.0,18,2024
9,2854,0.0,0.0,0.0,18,2024
10,1648,0.0,0.0,0.0,18,2024
1,2883,0.0,0.0,0.0,19,2020
2,9656,0.0,0.0,0.0,19,2020
3,15741,0.0,0.0,0.0,19,2020
4,26265,0.0,0.0,0.0,19,2020
5,22568,0.0,0.0,0.0,19,2020
6,26256,760.0,0.02894576477757465,0.4960835509138381,19,2020
7,31310,105.0,0.00335356116256787,0.0685378590078329,19,2020
8,38577,586.0,0.015190398423931358,0.3825065274151436,19,2020
9,37649,81.0,0.0021514515657786396,0.05287206266318538,19,2020
10,25077,0.0,0.0,0.0,19,2020
1,5136,0.0,0.0,0.0,19,2022
2,9554,0.0,0.0,0.0,19,2022
3,19271,0.0,0.0,0.0,19,2022
4,20945,0.0,0.0,0.0,19,2022
5,23072,0.0,0.0,0.0,19,2022
6,22764,0.0,0.0,0.0,19,2022
7,30139,0.0,0.0,0.0,19,2022
