cve_ent,categoria,sexo,edad,personas,año
07,Solo trabaja,MASCULINO,23,732,2024
08,Ninguna,FEMENINO,21,102,2024
10,Ninguna,FEMENINO,22,260,2024
10,Ninguna,FEMENINO,24,101,2024
11,Ninguna,FEMENINO,21,279,2024
12,Ninguna,FEMENINO,20,453,2024
12,Ninguna,FEMENINO,24,316,2024
12,Ninguna,FEMENINO,27,435,2024
12,Ninguna,MASCULINO,24,832,2024
12,Ninguna,MASCULINO,25,492,2024
12,Solo estudia,FEMENINO,23,435,2024
12,Solo trabaja,MASCULINO,19,316,2024
15,Estudia y trabaja,FEMENINO,20,415,2024
15,Solo trabaja,FEMENINO,21,415,2024
15,Solo trabaja,MASCULINO,22,929,2024
15,Solo trabaja,MASCULINO,24,337,2024
16,Ninguna,FEMENINO,25,585,2024
16,Ninguna,FEMENINO,27,466,2024
16,Ninguna,FEMENINO,29,466,2024
17,Ninguna,FEMENINO,24,269,2024
17,Ninguna,FEMENINO,25,269,2024
17,Ninguna,MASCULINO,28,269,2024
17,Solo trabaja,FEMENINO,25,971,2024
17,Solo trabaja,MASCULINO,23,338,2024
17,Solo trabaja,MASCULINO,24,269,2024
18,Ninguna,FEMENINO,22,196,2024
18,Ninguna,FEMENINO,27,190,2024
19,Solo trabaja,FEMENINO,20,45,2024
22,Ninguna,FEMENINO,29,57,2024
22,Solo trabaja,FEMENINO,19,132,2024
23,Ninguna,FEMENINO,21,109,2024
23,Ninguna,FEMENINO,22,276,2024
23,Ninguna,FEMENINO,25,271,2024
23,Ninguna,FEMENINO,28,109,2024
23,Solo trabaja,FEMENINO,21,109,2024
23,Solo trabaja,FEMENINO,26,109,2024
23,Solo trabaja,MASCULINO,20,109,2024
23,Solo trabaja,MASCULINO,22,138,2024
23,Solo trabaja,MASCULINO,23,109,2024
24,Ninguna,FEMENINO,22,197,2024
24,Ninguna,FEMENINO,25,218,2024
24,Solo trabaja,FEMENINO,26,191,2024
26,Ninguna,FEMENINO,22,241,2024
26,Solo trabaja,MASCULINO,23,524,2024
27,Ninguna,FEMENINO,18,229,2024
27,Ninguna,FEMENINO,19,880,2024
27,Ninguna,FEMENINO,20,278,2024
27,Ninguna,FEMENINO,21,453,2024
27,Ninguna,FEMENINO,22,234,2024
27,Ninguna,FEMENINO,23,658,2024
27,Ninguna,FEMENINO,25,234,2024
27,Ninguna,FEMENINO,27,388,2024
27,Ninguna,FEMENINO,29,409,2024
27,Solo estudia,FEMENINO,20,388,2024
27,Solo trabaja,FEMENINO,23,229,2024
27,Solo trabaja,FEMENINO,26,907,2024
27,Solo trabaja,MASCULINO,18,304,2024
27,Solo trabaja,MASCULINO,19,111,2024
27,Solo trabaja,MASCULINO,28,424,2024
28,Ninguna,FEMENINO,20,193,2024
28,Ninguna,FEMENINO,28,602,2024
28,Ninguna,FEMENINO,29,527,2024
28,Solo trabaja,MASCULINO,28,585,2024
29,Ninguna,FEMENINO,19,75,2024
29,Ninguna,FEMENINO,20,404,2024
29,Ninguna,FEMENINO,21,258,2024
29,Ninguna,FEMENINO,25,211,2024
29,Ninguna,MASCULINO,21,75,2024
30,Ninguna,FEMENINO,19,2889,2024
