caja,n,cve_ent,año
20-30%,1,21,2020
30-40%,0,21,2020
40-50%,0,21,2020
50-60%,0,21,2020
60-70%,0,21,2020
70-80%,0,21,2020
80-90%,0,21,2020
90-100%,0,21,2020
0-10%,0,22,2020
10-20%,4,22,2020
20-30%,2,22,2020
30-40%,1,22,2020
40-50%,0,22,2020
50-60%,0,22,2020
60-70%,0,22,2020
70-80%,0,22,2020
80-90%,0,22,2020
90-100%,0,22,2020
0-10%,1,22,2022
10-20%,1,22,2022
20-30%,0,22,2022
30-40%,0,22,2022
40-50%,0,22,2022
50-60%,0,22,2022
60-70%,0,22,2022
70-80%,0,22,2022
80-90%,0,22,2022
90-100%,0,22,2022
0-10%,0,22,2024
10-20%,2,22,2024
20-30%,0,22,2024
30-40%,1,22,2024
40-50%,0,22,2024
50-60%,0,22,2024
60-70%,0,22,2024
70-80%,0,22,2024
80-90%,0,22,2024
90-100%,0,22,2024
0-10%,1,23,2020
10-20%,3,23,2020
20-30%,1,23,2020
30-40%,2,23,2020
40-50%,1,23,2020
50-60%,2,23,2020
60-70%,3,23,2020
70-80%,0,23,2020
80-90%,1,23,2020
90-100%,0,23,2020
0-10%,2,23,2022
10-20%,4,23,2022
20-30%,1,23,2022
30-40%,1,23,2022
40-50%,1,23,2022
50-60%,2,23,2022
60-70%,0,23,2022
70-80%,0,23,2022
80-90%,0,23,2022
90-100%,0,23,2022
0-10%,1,23,2024
10-20%,2,23,2024
20-30%,2,23,2024
30-40%,1,23,2024
40-50%,1,23,2024
50-60%,0,23,2024
60-70%,0,23,2024
70-80%,0,23,2024
80-90%,0,23,2024
90-100%,0,23,2024
0-10%,0,24,2020
10-20%,2,24,2020
20-30%,0,24,2020
30-40%,1,24,2020
40-50%,0,24,2020
50-60%,0,24,2020
60-70%,0,24,2020
70-80%,0,24,2020
80-90%,0,24,2020
90-100%,0,24,2020
0-10%,0,24,2022
10-20%,1,24,2022
20-30%,0,24,2022
30-40%,0,24,2022
40-50%,0,24,2022
50-60%,0,24,2022
60-70%,0,24,2022
70-80%,0,24,2022
80-90%,0,24,2022
90-100%,0,24,2022
0-10%,1,24,2024
10-20%,0,24,2024
20-30%,1,24,2024
30-40%,1,24,2024
40-50%,0,24,2024
50-60%,0,24,2024
60-70%,0,24,2024
70-80%,0,24,2024
80-90%,0,24,2024
90-100%,0,24,2024
0-10%,2,25,2020
10-20%,2,25,2020
20-30%,0,25,2020
30-40%,0,25,2020
40-50%,0,25,2020
50-60%,0,25,2020
60-70%,0,25,2020
70-80%,0,25,2020
80-90%,0,25,2020
90-100%,0,25,2020
0-10%,1,25,2022
10-20%,2,25,2022
20-30%,0,25,2022
30-40%,0,25,2022
40-50%,0,25,2022
50-60%,0,25,2022
60-70%,0,25,2022
70-80%,0,25,2022
80-90%,0,25,2022
90-100%,0,25,2022
0-10%,0,26,2020
10-20%,0,26,2020
20-30%,1,26,2020
30-40%,0,26,2020
40-50%,0,26,2020
50-60%,0,26,2020
60-70%,0,26,2020
70-80%,0,26,2020
80-90%,0,26,2020
90-100%,0,26,2020
0-10%,1,26,2022
10-20%,0,26,2022
20-30%,0,26,2022
30-40%,0,26,2022
40-50%,0,26,2022
50-60%,0,26,2022
60-70%,0,26,2022
70-80%,0,26,2022
80-90%,0,26,2022
90-100%,0,26,2022
0-10%,1,26,2024
10-20%,0,26,2024
20-30%,1,26,2024
30-40%,0,26,2024
40-50%,0,26,2024
50-60%,0,26,2024
60-70%,0,26,2024
70-80%,0,26,2024
80-90%,0,26,2024
90-100%,0,26,2024
0-10%,7,27,2020
10-20%,10,27,2020
20-30%,9,27,2020
30-40%,5,27,2020
40-50%,1,27,2020
50-60%,1,27,2020
60-70%,1,27,2020
70-80%,1,27,2020
80-90%,1,27,2020
90-100%,0,27,2020
0-10%,1,27,2022
10-20%,5,27,2022
20-30%,4,27,2022
30-40%,4,27,2022
40-50%,1,27,2022
50-60%,0,27,2022
60-70%,0,27,2022
70-80%,0,27,2022
80-90%,0,27,2022
90-100%,0,27,2022
0-10%,0,27,2024
10-20%,2,27,2024
20-30%,5,27,2024
30-40%,4,27,2024
40-50%,2,27,2024
50-60%,2,27,2024
60-70%,0,27,2024
70-80%,0,27,2024
80-90%,0,27,2024
90-100%,0,27,2024
0-10%,5,28,2020
10-20%,1,28,2020
20-30%,1,28,2020
30-40%,0,28,2020
40-50%,1,28,2020
50-60%,0,28,2020
60-70%,0,28,2020
70-80%,0,28,2020
80-90%,0,28,2020
90-100%,0,28,2020
0-10%,1,28,2024
10-20%,1,28,2024
20-30%,0,28,2024
30-40%,0,28,2024
40-50%,1,28,2024
50-60%,0,28,2024
60-70%,1,28,2024
70-80%,0,28,2024
80-90%,0,28,2024
90-100%,0,28,2024
0-10%,2,29,2020
10-20%,2,29,2020
20-30%,0,29,2020
30-40%,2,29,2020
40-50%,0,29,2020
50-60%,1,29,2020
60-70%,0,29,2020
70-80%,0,29,2020
80-90%,0,29,2020
90-100%,0,29,2020
0-10%,3,29,2022
10-20%,0,29,2022
20-30%,2,29,2022
30-40%,2,29,2022
40-50%,0,29,2022
50-60%,0,29,2022
60-70%,1,29,2022
70-80%,0,29,2022
80-90%,0,29,2022
90-100%,0,29,2022
0-10%,2,29,2024
10-20%,1,29,2024
20-30%,1,29,2024
30-40%,1,29,2024
40-50%,1,29,2024
50-60%,0,29,2024
60-70%,0,29,2024
70-80%,0,29,2024
80-90%,0,29,2024
90-100%,0,29,2024
0-10%,1,30,2020
10-20%,3,30,2020
20-30%,4,30,2020
30-40%,2,30,2020
40-50%,2,30,2020
50-60%,1,30,2020
60-70%,0,30,2020
70-80%,0,30,2020
80-90%,0,30,2020
90-100%,0,30,2020
0-10%,0,30,2022
10-20%,0,30,2022
20-30%,1,30,2022
30-40%,2,30,2022
40-50%,0,30,2022
50-60%,0,30,2022
60-70%,0,30,2022
70-80%,0,30,2022
80-90%,1,30,2022
90-100%,0,30,2022
0-10%,1,30,2024
10-20%,2,30,2024
20-30%,0,30,2024
30-40%,3,30,2024
40-50%,0,30,2024
50-60%,0,30,2024
60-70%,0,30,2024
70-80%,0,30,2024
80-90%,0,30,2024
90-100%,1,30,2024
0-10%,4,31,2020
10-20%,4,31,2020
20-30%,1,31,2020
30-40%,0,31,2020
40-50%,0,31,2020
50-60%,1,31,2020
60-70%,0,31,2020
70-80%,0,31,2020
80-90%,0,31,2020
90-100%,0,31,2020
0-10%,1,31,2022
10-20%,1,31,2022
20-30%,3,31,2022
30-40%,2,31,2022
40-50%,0,31,2022
50-60%,0,31,2022
60-70%,0,31,2022
70-80%,0,31,2022
80-90%,0,31,2022
90-100%,0,31,2022
0-10%,0,31,2024
10-20%,1,31,2024
20-30%,2,31,2024
30-40%,0,31,2024
40-50%,1,31,2024
50-60%,0,31,2024
60-70%,0,31,2024
70-80%,0,31,2024
80-90%,0,31,2024
90-100%,0,31,2024
0-10%,3,32,2020
10-20%,3,32,2020
20-30%,2,32,2020
30-40%,0,32,2020
40-50%,0,32,2020
50-60%,0,32,2020
60-70%,0,32,2020
70-80%,0,32,2020
80-90%,1,32,2020
90-100%,0,32,2020
0-10%,2,32,2022
10-20%,5,32,2022
20-30%,2,32,2022
30-40%,1,32,2022
40-50%,0,32,2022
50-60%,1,32,2022
60-70%,0,32,2022
70-80%,0,32,2022
80-90%,0,32,2022
90-100%,0,32,2022
0-10%,0,32,2024
10-20%,2,32,2024
20-30%,0,32,2024
30-40%,0,32,2024
40-50%,1,32,2024
50-60%,0,32,2024
60-70%,1,32,2024
70-80%,0,32,2024
80-90%,0,32,2024
90-100%,0,32,2024
