clave,monto_exp,pct,programa,decil,cve_ent,año
P048,1458883.76,42.86,Otros programas sociales,3,26,2020
P108,8025047.98,100.0,JCF,10,26,2022
P108,7544741.390000001,100.0,JCF,8,26,2024
P108,11097772.87,97.78,JCF,2,27,2020
P102,251801.6,2.22,BJ media superior,2,27,2020
P108,6563070.8,100.0,JCF,3,27,2020
P108,8349335.869999999,75.73,JCF,5,27,2020
P048,1462705.37,13.27,Otros programas sociales,5,27,2020
P103,1213376.6700000002,11.01,Jov Escribiendo,5,27,2020
P108,25091176.939999998,88.29,JCF,6,27,2020
P104,2330979.4499999997,8.2,Adultos mayores,6,27,2020
P102,997089.24,3.51,BJ media superior,6,27,2020
P048,1667212.17,35.23,Otros programas sociales,7,27,2020
P108,1470324.78,31.07,JCF,7,27,2020
P101,1061648.75,22.43,Benito Juarez basica,7,27,2020
P102,533508.03,11.27,BJ media superior,7,27,2020
P108,11487876.16,83.91,JCF,8,27,2020
P101,1257402.79,9.18,Benito Juarez basica,8,27,2020
P102,945389.86,6.91,BJ media superior,8,27,2020
P108,14751243.6,88.19,JCF,9,27,2020
P104,1248013.98,7.46,Adultos mayores,9,27,2020
P103,727080.2000000001,4.35,Jov Escribiendo,9,27,2020
P108,410753.68,100.0,JCF,10,27,2020
P108,3610873.8899999997,100.0,JCF,3,27,2022
P108,5300849.21,84.83,JCF,4,27,2022
P102,947833.24,15.17,BJ media superior,4,27,2022
P108,15567146.87,94.73,JCF,5,27,2022
P105,865192.9600000001,5.27,Discapacidad,5,27,2022
P108,4580551.85,64.81,JCF,6,27,2022
P104,2486582.0,35.19,Adultos mayores,6,27,2022
P108,7600811.859999999,100.0,JCF,7,27,2022
P108,10651071.219999999,90.89,JCF,8,27,2022
P043,1068064.36,9.11,PROCAMPO/ProAgro,8,27,2022
P108,18951905.89,87.43,JCF,9,27,2022
P103,2466242.03,11.38,Jov Escribiendo,9,27,2022
P101,259670.40000000002,1.2,Benito Juarez basica,9,27,2022
P108,1716846.3,100.0,JCF,2,27,2024
P108,11163223.05,100.0,JCF,3,27,2024
P108,10267225.64,100.0,JCF,4,27,2024
P108,4509888.64,100.0,JCF,5,27,2024
P108,41055974.0,100.0,JCF,6,27,2024
