cve_ent,cve_mun,edad,sexo,poblacion
03,03002,28,MASCULINO,46
03,03002,29,FEMENINO,177
03,03002,29,MASCULINO,43
03,03003,18,FEMENINO,497
03,03003,18,MASCULINO,381
03,03003,19,FEMENINO,517
03,03003,19,MASCULINO,233
03,03003,20,FEMENINO,883
03,03003,20,MASCULINO,249
03,03003,21,FEMENINO,583
03,03003,21,MASCULINO,279
03,03003,22,FEMENINO,694
03,03003,22,MASCULINO,267
03,03003,23,FEMENINO,528
03,03003,23,MASCULINO,303
03,03003,24,FEMENINO,804
03,03003,24,MASCULINO,168
03,03003,25,FEMENINO,810
03,03003,25,MASCULINO,351
03,03003,26,FEMENINO,643
03,03003,26,MASCULINO,140
03,03003,27,FEMENINO,675
03,03003,27,MASCULINO,271
03,03003,28,FEMENINO,973
03,03003,28,MASCULINO,246
03,03003,29,FEMENINO,779
03,03003,29,MASCULINO,234
03,03008,18,FEMENINO,844
03,03008,18,MASCULINO,704
03,03008,19,FEMENINO,1092
03,03008,19,MASCULINO,216
03,03008,20,FEMENINO,1083
03,03008,20,MASCULINO,548
03,03008,21,FEMENINO,883
03,03008,21,MASCULINO,300
03,03008,22,FEMENINO,1080
03,03008,22,MASCULINO,384
03,03008,23,FEMENINO,1295
03,03008,23,MASCULINO,423
03,03008,24,FEMENINO,1406
03,03008,24,MASCULINO,495
03,03008,25,FEMENINO,1534
03,03008,25,MASCULINO,268
03,03008,26,FEMENINO,1651
03,03008,26,MASCULINO,185
03,03008,27,FEMENINO,1052
03,03008,27,MASCULINO,129
03,03008,28,FEMENINO,1248
03,03008,28,MASCULINO,349
03,03008,29,FEMENINO,891
03,03008,29,MASCULINO,151
03,03009,18,FEMENINO,100
03,03009,18,MASCULINO,5
03,03009,19,FEMENINO,56
03,03009,19,MASCULINO,43
03,03009,20,FEMENINO,36
03,03009,20,MASCULINO,29
03,03009,21,FEMENINO,72
03,03009,21,MASCULINO,19
03,03009,22,FEMENINO,53
03,03009,22,MASCULINO,14
03,03009,23,FEMENINO,57
03,03009,23,MASCULINO,32
03,03009,24,FEMENINO,40
03,03009,24,MASCULINO,15
03,03009,25,FEMENINO,59
03,03009,25,MASCULINO,21
03,03009,26,FEMENINO,32
03,03009,26,MASCULINO,16
03,03009,27,FEMENINO,34
03,03009,27,MASCULINO,8
03,03009,28,FEMENINO,54
03,03009,28,MASCULINO,37
03,03009,29,FEMENINO,28
03,03009,29,MASCULINO,5
04,04001,18,FEMENINO,195
04,04001,18,MASCULINO,59
04,04001,19,FEMENINO,167
04,04001,19,MASCULINO,34
04,04001,20,FEMENINO,251
04,04001,20,MASCULINO,66
04,04001,21,FEMENINO,182
04,04001,21,MASCULINO,35
04,04001,22,FEMENINO,137
04,04001,22,MASCULINO,75
04,04001,23,FEMENINO,171
04,04001,23,MASCULINO,70
04,04001,24,FEMENINO,211
04,04001,24,MASCULINO,96
04,04001,25,FEMENINO,266
04,04001,25,MASCULINO,70
04,04001,26,FEMENINO,270
04,04001,26,MASCULINO,82
04,04001,27,FEMENINO,207
04,04001,27,MASCULINO,111
04,04001,28,FEMENINO,253
04,04001,28,MASCULINO,45
04,04001,29,FEMENINO,261
04,04001,29,MASCULINO,88
04,04002,18,FEMENINO,511
04,04002,18,MASCULINO,301
04,04002,19,FEMENINO,597
04,04002,19,MASCULINO,250
04,04002,20,FEMENINO,1006
04,04002,20,MASCULINO,249
04,04002,21,FEMENINO,511
04,04002,21,MASCULINO,227
04,04002,22,FEMENINO,580
04,04002,22,MASCULINO,196
04,04002,23,FEMENINO,740
04,04002,23,MASCULINO,329
04,04002,24,FEMENINO,1080
04,04002,24,MASCULINO,183
04,04002,25,FEMENINO,900
04,04002,25,MASCULINO,383
04,04002,26,FEMENINO,910
04,04002,26,MASCULINO,171
04,04002,27,FEMENINO,941
04,04002,27,MASCULINO,216
04,04002,28,FEMENINO,1153
04,04002,28,MASCULINO,209
04,04002,29,FEMENINO,708
04,04002,29,MASCULINO,178
04,04003,18,FEMENINO,521
04,04003,18,MASCULINO,201
04,04003,19,FEMENINO,579
04,04003,19,MASCULINO,229
04,04003,20,FEMENINO,798
04,04003,20,MASCULINO,300
04,04003,21,FEMENINO,837
04,04003,21,MASCULINO,400
04,04003,22,FEMENINO,1010
04,04003,22,MASCULINO,289
04,04003,23,FEMENINO,850
04,04003,23,MASCULINO,252
04,04003,24,FEMENINO,1270
04,04003,24,MASCULINO,324
04,04003,25,FEMENINO,1282
04,04003,25,MASCULINO,261
04,04003,26,FEMENINO,998
04,04003,26,MASCULINO,169
04,04003,27,FEMENINO,1077
04,04003,27,MASCULINO,256
04,04003,28,FEMENINO,1192
04,04003,28,MASCULINO,324
04,04003,29,FEMENINO,1080
04,04003,29,MASCULINO,288
04,04004,18,FEMENINO,410
04,04004,18,MASCULINO,52
04,04004,19,FEMENINO,330
04,04004,19,MASCULINO,99
04,04004,20,FEMENINO,456
04,04004,20,MASCULINO,52
04,04004,21,FEMENINO,329
04,04004,21,MASCULINO,54
04,04004,22,FEMENINO,528
04,04004,22,MASCULINO,59
04,04004,23,FEMENINO,303
04,04004,23,MASCULINO,99
04,04004,24,FEMENINO,419
04,04004,24,MASCULINO,38
04,04004,25,FEMENINO,483
04,04004,25,MASCULINO,37
04,04004,26,FEMENINO,287
04,04004,26,MASCULINO,36
04,04004,27,FEMENINO,395
04,04004,27,MASCULINO,39
04,04004,28,FEMENINO,361
04,04004,28,MASCULINO,62
04,04004,29,FEMENINO,517
04,04004,29,MASCULINO,78
04,04005,18,FEMENINO,86
04,04005,18,MASCULINO,16
04,04005,19,FEMENINO,66
04,04005,19,MASCULINO,33
04,04005,20,FEMENINO,104
04,04005,20,MASCULINO,33
04,04005,21,FEMENINO,96
04,04005,21,MASCULINO,33
04,04005,22,FEMENINO,96
04,04005,22,MASCULINO,28
04,04005,23,FEMENINO,149
04,04005,23,MASCULINO,60
04,04005,24,FEMENINO,139
04,04005,24,MASCULINO,38
04,04005,25,FEMENINO,81
04,04005,25,MASCULINO,49
04,04005,26,FEMENINO,173
04,04005,26,MASCULINO,21
04,04005,27,FEMENINO,186
04,04005,27,MASCULINO,19
04,04005,28,FEMENINO,160
04,04005,28,MASCULINO,25
04,04005,29,FEMENINO,172
04,04005,29,MASCULINO,34
04,04006,18,FEMENINO,183
04,04006,18,MASCULINO,47
04,04006,19,FEMENINO,198
04,04006,19,MASCULINO,34
04,04006,20,FEMENINO,262
04,04006,20,MASCULINO,18
04,04006,21,FEMENINO,171
04,04006,21,MASCULINO,26
04,04006,22,FEMENINO,245
04,04006,22,MASCULINO,33
04,04006,23,FEMENINO,288
04,04006,23,MASCULINO,22
04,04006,24,FEMENINO,227
04,04006,24,MASCULINO,49
04,04006,25,FEMENINO,234
04,04006,25,MASCULINO,26
04,04006,26,FEMENINO,231
04,04006,26,MASCULINO,15
04,04006,27,FEMENINO,244
04,04006,27,MASCULINO,21
04,04006,28,FEMENINO,270
04,04006,28,MASCULINO,12
04,04006,29,FEMENINO,254
04,04006,29,MASCULINO,12
04,04007,18,FEMENINO,28
04,04007,18,MASCULINO,10
04,04007,19,FEMENINO,18
04,04007,19,MASCULINO,11
04,04007,20,FEMENINO,36
04,04007,20,MASCULINO,19
04,04007,21,FEMENINO,19
04,04007,21,MASCULINO,8
04,04007,22,FEMENINO,28
04,04007,22,MASCULINO,6
04,04007,23,FEMENINO,32
04,04007,23,MASCULINO,19
04,04007,24,FEMENINO,32
04,04007,24,MASCULINO,6
04,04007,25,FEMENINO,30
04,04007,25,MASCULINO,7
04,04007,26,FEMENINO,33
04,04007,26,MASCULINO,14
04,04007,27,FEMENINO,49
04,04007,27,MASCULINO,11
04,04007,28,FEMENINO,44
04,04007,28,MASCULINO,12
04,04007,29,FEMENINO,48
04,04007,29,MASCULINO,2
04,04008,18,FEMENINO,21
04,04008,18,MASCULINO,10
04,04008,19,FEMENINO,40
04,04008,19,MASCULINO,14
04,04008,20,FEMENINO,68
04,04008,20,MASCULINO,34
04,04008,21,FEMENINO,19
04,04008,21,MASCULINO,9
04,04008,22,FEMENINO,23
04,04008,22,MASCULINO,16
04,04008,23,FEMENINO,33
04,04008,23,MASCULINO,6
04,04008,24,FEMENINO,46
04,04008,24,MASCULINO,11
04,04008,25,FEMENINO,57
04,04008,25,MASCULINO,21
04,04008,26,FEMENINO,34
04,04008,26,MASCULINO,13
04,04008,27,FEMENINO,55
04,04008,27,MASCULINO,16
04,04008,28,FEMENINO,46
04,04008,28,MASCULINO,13
04,04008,29,FEMENINO,46
04,04008,29,MASCULINO,5
04,04009,18,FEMENINO,245
04,04009,18,MASCULINO,105
04,04009,19,FEMENINO,210
04,04009,19,MASCULINO,56
04,04009,20,FEMENINO,264
04,04009,20,MASCULINO,69
04,04009,21,FEMENINO,186
04,04009,21,MASCULINO,34
04,04009,22,FEMENINO,388
04,04009,22,MASCULINO,35
04,04009,23,FEMENINO,338
04,04009,23,MASCULINO,95
04,04009,24,FEMENINO,387
04,04009,24,MASCULINO,46
04,04009,25,FEMENINO,392
04,04009,25,MASCULINO,62
04,04009,26,FEMENINO,380
04,04009,26,MASCULINO,37
04,04009,27,FEMENINO,266
04,04009,27,MASCULINO,67
04,04009,28,FEMENINO,357
04,04009,28,MASCULINO,42
04,04009,29,FEMENINO,289
04,04009,29,MASCULINO,48
04,04010,18,FEMENINO,122
04,04010,18,MASCULINO,56
04,04010,19,FEMENINO,175
04,04010,19,MASCULINO,37
04,04010,20,FEMENINO,243
04,04010,20,MASCULINO,66
04,04010,21,FEMENINO,148
04,04010,21,MASCULINO,56
04,04010,22,FEMENINO,136
04,04010,22,MASCULINO,47
04,04010,23,FEMENINO,181
04,04010,23,MASCULINO,36
04,04010,24,FEMENINO,189
04,04010,24,MASCULINO,17
04,04010,25,FEMENINO,218
04,04010,25,MASCULINO,12
04,04010,26,FEMENINO,210
04,04010,26,MASCULINO,25
04,04010,27,FEMENINO,242
04,04010,27,MASCULINO,34
04,04010,28,FEMENINO,198
04,04010,28,MASCULINO,37
04,04010,29,FEMENINO,191
04,04010,29,MASCULINO,36
04,04011,18,FEMENINO,272
04,04011,18,MASCULINO,50
04,04011,19,FEMENINO,337
04,04011,19,MASCULINO,55
04,04011,20,FEMENINO,226
04,04011,20,MASCULINO,84
04,04011,21,FEMENINO,184
04,04011,21,MASCULINO,48
04,04011,22,FEMENINO,279
04,04011,22,MASCULINO,120
04,04011,23,FEMENINO,219
04,04011,23,MASCULINO,28
04,04011,24,FEMENINO,345
04,04011,24,MASCULINO,70
04,04011,25,FEMENINO,291
04,04011,25,MASCULINO,35
04,04011,26,FEMENINO,311
04,04011,26,MASCULINO,43
04,04011,27,FEMENINO,307
04,04011,27,MASCULINO,78
04,04011,28,FEMENINO,304
04,04011,28,MASCULINO,28
04,04011,29,FEMENINO,250
04,04011,29,MASCULINO,42
05,05001,18,FEMENINO,2
05,05001,18,MASCULINO,1
05,05001,19,FEMENINO,1
05,05001,20,FEMENINO,4
