año,cve_mun,cve_ent,candidatos_estimados,beneficiarios,tasa
2025,05023,05,754,72,0.09549071618037135
2019,05024,05,2408,203,0.08430232558139535
2020,05024,05,2429,179,0.07369287772745986
2021,05024,05,2442,178,0.0728910728910729
2022,05024,05,2451,138,0.056303549571603426
2023,05024,05,2457,136,0.055352055352055354
2024,05024,05,2462,79,0.032087733549959384
2025,05024,05,2467,86,0.03486015403323875
2019,05025,05,11096,125,0.011265320836337418
2020,05025,05,11192,111,0.009917798427448178
2021,05025,05,11254,87,0.0077305846810023105
2022,05025,05,11295,106,0.009384683488269145
2023,05025,05,11323,88,0.007771791927934293
2024,05025,05,11344,41,0.0036142454160789845
2025,05025,05,11367,167,0.014691651271223717
2019,05026,05,251,22,0.08764940239043825
2020,05026,05,253,29,0.11462450592885376
2021,05026,05,254,29,0.1141732283464567
2022,05026,05,255,19,0.07450980392156863
2023,05026,05,256,8,0.03125
2024,05026,05,256,3,0.01171875
2025,05026,05,257,5,0.019455252918287938
2019,05027,05,7595,111,0.014614878209348255
2020,05027,05,7661,124,0.016185876517425923
2021,05027,05,7704,101,0.013110072689511941
2022,05027,05,7732,76,0.00982928091050181
2023,05027,05,7751,68,0.008773061540446395
2024,05027,05,7765,27,0.0034771410173857053
2025,05027,05,7781,48,0.006168872895514715
2019,05028,05,4014,54,0.013452914798206279
2020,05028,05,4049,58,0.014324524573968881
2021,05028,05,4071,58,0.014247113731269958
2022,05028,05,4086,80,0.01957905041605482
2023,05028,05,4096,163,0.039794921875
2024,05028,05,4104,145,0.03533138401559454
2025,05028,05,4112,451,0.10967898832684825
2019,05029,05,153,5,0.032679738562091505
2020,05029,05,154,5,0.032467532467532464
2021,05029,05,155,3,0.01935483870967742
2022,05029,05,155,2,0.012903225806451613
2023,05029,05,156,2,0.01282051282051282
2024,05029,05,156,2,0.01282051282051282
2025,05029,05,156,4,0.02564102564102564
2019,05030,05,49620,1326,0.02672309552599758
2020,05030,05,50050,1486,0.02969030969030969
2021,05030,05,50328,1174,0.02332697504371324
2022,05030,05,50511,837,0.016570647977668232
2023,05030,05,50636,593,0.011711035626826764
2024,05030,05,50732,343,0.006761018686430655
2025,05030,05,50831,503,0.009895536188546359
2019,05031,05,1406,19,0.013513513513513514
2020,05031,05,1418,25,0.01763046544428773
2021,05031,05,1426,16,0.011220196353436185
2022,05031,05,1431,16,0.011180992313067784
2023,05031,05,1435,32,0.02229965156794425
2024,05031,05,1437,30,0.020876826722338204
2025,05031,05,1440,56,0.03888888888888889
2019,05032,05,2555,34,0.013307240704500978
2020,05032,05,2577,38,0.014745828482731859
2021,05032,05,2591,35,0.013508297954457738
2022,05032,05,2601,90,0.03460207612456748
2023,05032,05,2607,156,0.05983889528193326
2024,05032,05,2612,95,0.03637059724349158
