macrotema,monto_exp,pct,decil,cve_ent,año
Programas sociales y becas,1156303.32,14.68,3,13,2020
Trabajo,5894796.12,68.15,4,13,2020
Programas sociales y becas,1753823.2000000002,20.28,4,13,2020
Negocio propio,1000654.64,11.57,4,13,2020
Programas sociales y becas,7420297.15,40.87,5,13,2020
Trabajo,6831387.64,37.62,5,13,2020
Negocio propio,1476696.9700000002,8.13,5,13,2020
Percepciones financieras y de capital,1325053.17,7.3,5,13,2020
Renta de la propiedad,1104209.47,6.08,5,13,2020
Trabajo,7090573.9799999995,52.23,6,13,2020
Programas sociales y becas,6441245.9399999995,47.44,6,13,2020
Negocio propio,44671.26,0.33,6,13,2020
Trabajo,6320046.960000001,42.37,7,13,2020
Programas sociales y becas,5246503.02,35.18,7,13,2020
Transferencias,2077824.2400000002,13.93,7,13,2020
Negocio propio,1270583.88,8.52,7,13,2020
Trabajo,13264501.38,56.33,6,13,2022
Programas sociales y becas,6950949.78,29.52,6,13,2022
Percepciones financieras y de capital,1782292.26,7.57,6,13,2022
Transferencias,891146.13,3.78,6,13,2022
Negocio propio,657216.9299999999,2.79,6,13,2022
Negocio propio,50460457.08,57.6,9,14,2022
Programas sociales y becas,14908771.41,17.02,9,14,2022
Transferencias,12185047.55,13.91,9,14,2022
Trabajo,10034742.78,11.46,9,14,2022
Otros ingresos,9552.34,0.01,9,14,2022
Negocio propio,21723554.560000002,32.33,6,15,2020
Trabajo,20363451.09,30.3,6,15,2020
Programas sociales y becas,18576748.11,27.65,6,15,2020
Percepciones financieras y de capital,4951986.57,7.37,6,15,2020
Transferencias,1581489.2,2.35,6,15,2020
Trabajo,83637344.19999999,43.39,8,15,2020
Transferencias,79576623.5,41.28,8,15,2020
Programas sociales y becas,25758159.259999998,13.36,8,15,2020
Negocio propio,3784643.58,1.96,8,15,2020
Trabajo,34985535.96,91.98,10,15,2020
Programas sociales y becas,1896652.06,4.99,10,15,2020
Renta de la propiedad,1153368.54,3.03,10,15,2020
Trabajo,26546273.78,84.48,2,15,2022
Programas sociales y becas,4695245.619999999,14.94,2,15,2022
Percepciones financieras y de capital,180575.72,0.57,2,15,2022
Transferencias,5193439.68,63.63,3,15,2022
Programas sociales y becas,2077373.76,25.45,3,15,2022
Negocio propio,890500.1599999999,10.91,3,15,2022
Trabajo,18150255.439999998,68.24,8,15,2022
Programas sociales y becas,7984367.82,30.02,8,15,2022
Negocio propio,464660.64,1.75,8,15,2022
